1.0,1.900355872
2.0,2
3.0,2.398576512
4.0,2.398576512
5.1,2.597864769
6.0,2.896797153
7.0,3.295373665
8.0,3.370106762
9.0,3.170818505
10.0,3.494661922
11.0,3.59430605
12.0,4.09252669
13.0,4.09252669
14.0,3.992882562
15.0,3.793594306
16.0,3.893238434
17.0,4.291814947
18.0,4.291814947
19.0,3.793594306
20.0,3.992882562
21.0,3.992882562
22.0,3.893238434
23.0,3.59430605
25.0,3.693950178
26.0,3.494661922
27.0,3.295373665
28.0,3.295373665
29.0,2.996441281
30.0,2.896797153
30.9,2.697508897
32.0,2.772241993
33.0,2.672597865
34.0,2.697508897
35.0,2.597864769
35.9,2.697508897
37.0,2.896797153
38.0,3.170818505
39.0,3.395017794
40.0,3.096085409
41.0,3.395017794
42.0,3.195729537
43.0,2.996441281
44.0,2.697508897
45.0,2.597864769
46.0,2.498220641
47.0,2.199288256
48.0,2.298932384
49.0,2.099644128
50.0,2.498220641
51.0,3.793594306
52.0,5.786476868
53.0,7.007117438
54.0,8.501779359
55.0,8.402135231
56.0,8.402135231
57.0,7.679715302
58.0,7.903914591
59.0,7.505338078
60.0,6.185053381
61.0,6.185053381
62.0,5.587188612
63.0,5.1886121
64.0,4.989323843
65.0,4.889679715
66.0,4.839857651
66.9,4.491103203
68.0,4.889679715
69.0,4.491103203
70.0,4.690391459
71.0,4.291814947
72.0,4.291814947
73.0,4.192170819
74.0,3.793594306